,trial,End_Time(yrs),whole_system_stable,planet
0,4501,29472.9508,no,0
1,4501,12100.84287,no,1
2,4501,12100.84287,no,2
3,4502,4471.237953,no,0
4,4502,4471.237953,no,1
5,4502,41263.86019,no,2
6,4503,28402.698,no,0
7,4503,86.1076837,no,1
8,4503,86.1076837,no,2
9,4504,1000614.648,yes,0
10,4504,1000614.648,yes,1
11,4504,1000614.648,yes,2
12,4505,20027.37109,no,0
13,4505,17373.2273,no,1
14,4505,17373.2273,no,2
15,4506,450.7740636,no,0
16,4506,450.7740636,no,1
17,4506,481.7997353,no,2
18,4507,79872.18069,no,0
19,4507,79872.18069,no,1
20,4507,81576.3189,no,2
21,4508,1000614.648,yes,0
22,4508,1000614.648,yes,1
23,4508,1000614.648,yes,2
24,4509,1000614.648,yes,0
25,4509,1000614.648,yes,1
26,4509,1000614.648,yes,2
27,4510,16750.34066,no,0
28,4510,2099.19785,no,1
29,4510,2099.19785,no,2
30,4511,19788.88967,no,0
31,4511,3478.404973,no,1
32,4511,3478.404973,no,2
33,4512,209.1621548,no,0
34,4512,209.1621548,no,1
35,4512,430.3991107,no,2
36,4513,3452.868867,no,0
37,4513,3452.868867,no,1
38,4513,6774.848628,no,2
39,4514,1000614.648,yes,0
40,4514,1000614.648,yes,1
41,4514,1000614.648,yes,2
42,4515,1000614.648,yes,0
43,4515,1000614.648,yes,1
44,4515,1000614.648,yes,2
45,4516,22406.93701,no,0
46,4516,22406.93701,no,1
47,4516,39672.82682,no,2
48,4517,1000614.648,yes,0
49,4517,1000614.648,yes,1
50,4517,1000614.648,yes,2
51,4518,483.9321015,no,0
52,4518,483.9321015,no,1
53,4518,700.5614672,no,2
54,4519,11980.04557,no,0
55,4519,11980.04557,no,1
56,4519,13166.60728,no,2
57,4520,1000614.648,yes,0
58,4520,1000614.648,yes,1
59,4520,1000614.648,yes,2
60,4521,1000614.648,no,0
61,4521,36699.37172,no,1
62,4521,36699.37172,no,2
63,4522,26516.2325,no,0
64,4522,20119.2913,no,1
65,4522,20119.2913,no,2
66,4523,1000614.648,yes,0
67,4523,1000614.648,yes,1
68,4523,1000614.648,yes,2
69,4524,257.3617544,no,0
70,4524,257.3617544,no,1
71,4524,11444.31299,no,2
72,4525,1000614.648,yes,0
73,4525,1000614.648,yes,1
74,4525,1000614.648,yes,2
75,4526,363.498118,no,0
76,4526,40.1208836,no,1
77,4526,40.1208836,no,2
78,4527,1000614.648,yes,0
79,4527,1000614.648,yes,1
80,4527,1000614.648,yes,2
81,4528,70380.08455,no,0
82,4528,70380.08455,no,1
83,4528,105408.7594,no,2
84,4529,1000614.648,yes,0
85,4529,1000614.648,yes,1
86,4529,1000614.648,yes,2
87,4530,2162.454795,no,0
88,4530,2162.454795,no,1
89,4530,4045.632118,no,2
90,4531,1000614.648,yes,0
91,4531,1000614.648,yes,1
92,4531,1000614.648,yes,2
93,4532,2972.793495,no,0
94,4532,2972.793495,no,1
95,4532,2991.266757,no,2
96,4533,11221.86383,no,0
97,4533,11221.86383,no,1
98,4533,23579.54619,no,2
99,4534,12244.86931,no,0
100,4534,12244.86931,no,1
101,4534,23048.01004,no,2
102,4535,1000614.648,yes,0
103,4535,1000614.648,yes,1
104,4535,1000614.648,yes,2
105,4536,1000614.648,yes,0
106,4536,1000614.648,yes,1
107,4536,1000614.648,yes,2
108,4537,1000614.648,yes,0
109,4537,1000614.648,yes,1
110,4537,1000614.648,yes,2
111,4538,8058.518711,no,0
112,4538,8058.518711,no,1
113,4538,8112.553153,no,2
114,4539,22319.40219,no,0
115,4539,22319.40219,no,1
116,4539,28926.20848,no,2
117,4540,4431.311061,no,0
118,4540,734.793686,no,1
119,4540,734.793686,no,2
120,4541,32.549904,no,0
121,4541,32.549904,no,1
122,4541,4608.515561,no,2
123,4542,1000614.648,yes,0
124,4542,1000614.648,yes,1
125,4542,1000614.648,yes,2
126,4543,1000614.648,yes,0
127,4543,1000614.648,yes,1
128,4543,1000614.648,yes,2
129,4544,6132.953075,no,0
130,4544,42.5456233,no,1
131,4544,42.5456233,no,2
132,4545,6251.464936,no,0
133,4545,5571.578244,no,1
134,4545,5571.578244,no,2
135,4546,4325.838678,no,0
136,4546,15.0925324,no,1
137,4546,15.0925324,no,2
138,4547,3067.231537,no,0
139,4547,3067.231537,no,1
140,4547,9557.144135,no,2
141,4548,1000614.648,yes,0
142,4548,1000614.648,yes,1
143,4548,1000614.648,yes,2
144,4549,1593.972732,no,0
145,4549,1593.972732,no,1
146,4549,7713.576886,no,2
147,4550,1000614.648,yes,0
148,4550,1000614.648,yes,1
149,4550,1000614.648,yes,2
150,4551,1000614.648,yes,0
151,4551,1000614.648,yes,1
152,4551,1000614.648,yes,2
153,4552,14367.54993,no,0
154,4552,158.5770958,no,1
155,4552,158.5770958,no,2
156,4553,1000614.648,yes,0
157,4553,1000614.648,yes,1
158,4553,1000614.648,yes,2
159,4554,1000614.648,yes,0
160,4554,1000614.648,yes,1
161,4554,1000614.648,yes,2
162,4555,1000614.648,yes,0
163,4555,1000614.648,yes,1
164,4555,1000614.648,yes,2
165,4556,605662.8321,no,0
166,4556,605662.8321,no,1
167,4556,615933.8088,no,2
168,4557,8998.06841,no,0
169,4557,8998.06841,no,1
170,4557,21219.63488,no,2
171,4558,1000614.648,yes,0
172,4558,1000614.648,yes,1
173,4558,1000614.648,yes,2
174,4559,44029.37654,no,0
175,4559,5042.243614,no,1
176,4559,5042.243614,no,2
177,4560,1000614.648,yes,0
178,4560,1000614.648,yes,1
179,4560,1000614.648,yes,2
180,4561,5902.927705,no,0
181,4561,5902.927705,no,1
182,4561,6754.534834,no,2
183,4562,1000614.648,yes,0
184,4562,1000614.648,yes,1
185,4562,1000614.648,yes,2
186,4563,1000614.648,yes,0
187,4563,1000614.648,yes,1
188,4563,1000614.648,yes,2
189,4564,9176.038338,no,0
190,4564,9176.038338,no,1
191,4564,11046.25502,no,2
192,4565,1270.290797,no,0
193,4565,1270.290797,no,1
194,4565,1926.440487,no,2
195,4566,5304.981438,no,0
196,4566,4924.801586,no,1
197,4566,4924.801586,no,2
198,4567,33.9964091,no,0
199,4567,33.9964091,no,1
200,4567,161.902008,no,2
201,4568,388676.7059,no,0
202,4568,388676.7059,no,1
203,4568,388811.489,no,2
204,4569,1000614.648,yes,0
205,4569,1000614.648,yes,1
206,4569,1000614.648,yes,2
207,4570,21161.89135,no,0
208,4570,20709.25895,no,1
209,4570,20709.25895,no,2
210,4571,1000614.648,yes,0
211,4571,1000614.648,yes,1
212,4571,1000614.648,yes,2
213,4572,18008.15087,no,0
214,4572,18008.15087,no,1
215,4572,21774.52976,no,2
216,4573,1000614.648,yes,0
217,4573,1000614.648,yes,1
218,4573,1000614.648,yes,2
219,4574,1000614.648,yes,0
220,4574,1000614.648,yes,1
221,4574,1000614.648,yes,2
222,4575,1000614.648,yes,0
223,4575,1000614.648,yes,1
224,4575,1000614.648,yes,2
225,4576,191656.207,no,0
226,4576,191656.207,no,1
227,4576,194673.8017,no,2
228,4577,12462.78476,no,0
229,4577,12462.78476,no,1
230,4577,13029.24008,no,2
231,4578,885.8639824,no,0
232,4578,246.1705957,no,1
233,4578,246.1705957,no,2
234,4579,7216.87382,no,0
235,4579,7216.87382,no,1
236,4579,102769.0689,no,2
237,4580,1000614.648,yes,0
238,4580,1000614.648,yes,1
239,4580,1000614.648,yes,2
240,4581,517513.0766,no,0
241,4581,517513.0766,no,1
242,4581,520991.2301,no,2
243,4582,1000614.648,yes,0
244,4582,1000614.648,yes,1
245,4582,1000614.648,yes,2
246,4583,253.0579366,no,0
247,4583,253.0579366,no,1
248,4583,333.779391,no,2
249,4584,1000614.648,yes,0
250,4584,1000614.648,yes,1
251,4584,1000614.648,yes,2
252,4585,1000614.648,yes,0
253,4585,1000614.648,yes,1
254,4585,1000614.648,yes,2
255,4586,1000614.648,yes,0
256,4586,1000614.648,yes,1
257,4586,1000614.648,yes,2
258,4587,273.4719614,no,0
259,4587,198.0639796,no,1
260,4587,198.0639796,no,2
261,4588,3431.49226,no,0
262,4588,3431.49226,no,1
263,4588,14504.24288,no,2
264,4589,1000614.648,yes,0
265,4589,1000614.648,yes,1
266,4589,1000614.648,yes,2
267,4590,9886.828597,no,0
268,4590,9886.828597,no,1
269,4590,116620.1232,no,2
270,4591,7643.783102,no,0
271,4591,7421.439336,no,1
272,4591,7421.439336,no,2
