#   Full data used in Becker et al. 2018
# data sources: K2 campaign 5 (K2 C5)
#               K2 campaign 18 (K2 C18)
#               HATNet survey (HAT)
#               Kelt (KELT)
#               WASP (WASP)
#   Errors are uniquely derived for HAT/KELT/WASP
# data sets. 
#   In the paper, we scale errors so that flat line 
# model has a chi-sq of 1, but that scaling is not
# reflected in this data file. 
#   K2 errors are set to the K2 precision for each 
# K2 campaign.
# Flux and error are normalized.
# BJD and BJD-2454833 are given in days.
#
,BJD,BJD-2454833,Flux,Error,Data_Source
0,2457140.551,2307.5505,0.99997909,3.80E-05,K2 C5
1,2457140.571,2307.5709,1.0000359,3.80E-05,K2 C5
2,2457140.591,2307.5914,0.99999687,3.80E-05,K2 C5
3,2457140.612,2307.6118,0.99999521,3.80E-05,K2 C5
4,2457140.632,2307.6322,1.0000088,3.80E-05,K2 C5
5,2457140.653,2307.6526,0.99999869,3.80E-05,K2 C5
6,2457140.673,2307.6731,0.99994858,3.80E-05,K2 C5
7,2457140.694,2307.6935,1.0000216,3.80E-05,K2 C5
8,2457140.714,2307.7139,0.99995487,3.80E-05,K2 C5
9,2457140.734,2307.7344,1.0000545,3.80E-05,K2 C5
10,2457140.755,2307.7548,1.0000092,3.80E-05,K2 C5
11,2457140.775,2307.7752,1.0000384,3.80E-05,K2 C5
12,2457140.796,2307.7957,0.99996305,3.80E-05,K2 C5
13,2457140.816,2307.8161,0.99999926,3.80E-05,K2 C5
14,2457140.837,2307.8365,1.0000017,3.80E-05,K2 C5
15,2457140.857,2307.857,0.99999684,3.80E-05,K2 C5
16,2457140.877,2307.8774,1.0000351,3.80E-05,K2 C5
17,2457140.898,2307.8978,1.0000037,3.80E-05,K2 C5
18,2457140.918,2307.9183,0.99999009,3.80E-05,K2 C5
19,2457140.939,2307.9387,0.99998519,3.80E-05,K2 C5
20,2457140.959,2307.9591,1.0000517,3.80E-05,K2 C5
21,2457140.98,2307.9796,0.99994981,3.80E-05,K2 C5
22,2457141,2308,0.99999525,3.80E-05,K2 C5
23,2457141.02,2308.0204,1.000025,3.80E-05,K2 C5
24,2457141.041,2308.0409,1.0000232,3.80E-05,K2 C5
25,2457141.061,2308.0613,0.99999143,3.80E-05,K2 C5
26,2457141.082,2308.0817,0.99994706,3.80E-05,K2 C5
27,2457141.102,2308.1022,0.99997085,3.80E-05,K2 C5
28,2457141.123,2308.1226,0.99996317,3.80E-05,K2 C5
29,2457141.143,2308.143,1.0000071,3.80E-05,K2 C5
30,2457141.163,2308.1634,0.99998268,3.80E-05,K2 C5
31,2457141.184,2308.1839,1.0000055,3.80E-05,K2 C5
32,2457141.204,2308.2043,1.0000055,3.80E-05,K2 C5
33,2457141.225,2308.2247,0.99996822,3.80E-05,K2 C5
34,2457141.245,2308.2452,0.99998412,3.80E-05,K2 C5
35,2457141.266,2308.2656,0.99996197,3.80E-05,K2 C5
36,2457141.286,2308.286,1.0000295,3.80E-05,K2 C5
37,2457141.307,2308.3065,0.99998102,3.80E-05,K2 C5
38,2457141.327,2308.3269,0.99999394,3.80E-05,K2 C5
39,2457141.347,2308.3473,1.0000204,3.80E-05,K2 C5
40,2457141.368,2308.3678,1.0000947,3.80E-05,K2 C5
41,2457141.388,2308.3882,1.0000877,3.80E-05,K2 C5
42,2457141.409,2308.4086,1.0000247,3.80E-05,K2 C5
43,2457141.429,2308.4291,1.0000527,3.80E-05,K2 C5
44,2457141.45,2308.4495,1.0000307,3.80E-05,K2 C5
45,2457141.47,2308.4699,0.99999768,3.80E-05,K2 C5
46,2457141.49,2308.4904,1.0000439,3.80E-05,K2 C5
47,2457141.531,2308.5312,0.99998462,3.80E-05,K2 C5
48,2457141.552,2308.5517,0.99998763,3.80E-05,K2 C5
